DATA;FORNECEDOR;DESTINO;ESTADO/MUNICIPIO;TIPO;QUANTIDADE;VALOR;DESTINATARIO;UF;DATA DE ENTREGA
21/05/2020;VYAIRE;ACRE;ESTADO;UTI;20;R$ 1.200.000,00;Secretaria Estadual de Saúde;AC;23/05/2020
21/05/2020;MAGNAMED;ACRE;ESTADO;TRANSPORTE;10;R$ 482.900,00;Secretaria Estadual de Saúde;AC;23/05/2020
05/06/2020;LEISTUNG;ACRE;ESTADO;UTI;30;R$ 1.800.000,00;Secretaria Estadual de Saúde;AC;08/06/2020
16/06/2020;VYAIRE;ACRE;MUNICIPIO;UTI;5;R$ 300.000,00;Secretaria Municipal de Saúde (Sena Madureira);AC;24/06/2020
16/06/2020;MAGNAMED;ACRE;MUNICIPIO;TRANSPORTE;5;R$ 241.450,00;Secretaria Municipal de Saúde (Sena Madureira);AC;24/06/2020
26/06/2020;MAGNAMED;ACRE;MUNICIPIO;TRANSPORTE;10;R$ 482.900,00;Secretaria Municipal de Saúde (Cruzeiro do Sul);AC ;03/07/2020
26/06/2020;MAGNAMED;ACRE;MUNICIPIO;TRANSPORTE;70;R$ 3.380.300,00;Secretaria Municipal de Saúde (Cruzeiro do Sul);AC ;04/07/2020
07/07/2020;VYAIRE;ACRE;MUNICIPIO;UTI;10;R$ 600.000,00;Cruzeiro do Sul - Hoaspital Regional de Juruá;AC;19/07/2020
10/07/2020;MAGNAMED;ACRE;ESTADO;TRANSPORTE;5;R$ 241.450,00;RIO BRANCO - Secretaria Estadual de Saúde;AC;21/07/2020
10/07/2020;VYAIRE;ACRE;ESTADO;UTI;5;R$ 300.000,00;RIO BRANCO - Secretaria Estadual de Saúde;AC;21/07/2020
28/01/2021;VYAIRE;ACRE;ESTADO;UTI;20;R$ 1.200.000,00;SES ACRE;AC;29/01/2021
18/02/2021;KTK;ACRE;ESTADO;TRANSPORTE;20;R$ 400.000,00;SECRETARIA ESTADUAL DE SAUDE;AC;22/02/2021
18/02/2021;VYAIRE;ACRE;ESTADO;UTI;20;R$ 1.200.000,00;SECRETARIA ESTADUAL DE SAUDE;AC;22/02/2021
22/05/2020;KTK;ALAGOAS;ESTADO;UTI;15;R$ 900.000,00;Secretaria Estadual de Saúde;AL;24/05/2020
22/05/2020;MAGNAMED;ALAGOAS;ESTADO;TRANSPORTE;15;R$ 724.350,00;Secretaria Estadual de Saúde;AL;24/05/2020
04/06/2020;VYAIRE;ALAGOAS;ESTADO;UTI;20;R$ 1.200.000,00;Secretaria Estadual de Saúde;AL;06/06/2020
04/06/2020;MAGNAMED;ALAGOAS;ESTADO;TRANSPORTE;17;R$ 820.930,00;Secretaria Estadual de Saúde;AL;06/06/2020
04/06/2020;MAGNAMED;ALAGOAS;ESTADO;TRANSPORTE;3;R$ 144.870,00;Secretaria Estadual de Saúde;AL;06/06/2020
16/06/2020;MAGNAMED;ALAGOAS;ESTADO;TRANSPORTE;50;R$ 2.414.500,00;Secretaria Estadual de Saúde;AL;18/06/2020
26/06/2020;VYAIRE;ALAGOAS;MUNICIPIO;UTI;1;R$ 60.000,00;Secretaria Municipal de Saúde (BELO MONTE);AL;01/07/2020
26/06/2020;VYAIRE;ALAGOAS;MUNICIPIO;UTI;1;R$ 60.000,00;Secretaria Municipal de Saúde (MAJOR IZIDORO);AL;30/06/2020
26/06/2020;VYAIRE;ALAGOAS;MUNICIPIO;UTI;1;R$ 60.000,00;Secretaria Municipal de Saúde (MARAVILHA);AL;01/07/2020
26/06/2020;VYAIRE;ALAGOAS;MUNICIPIO;UTI;1;R$ 60.000,00;Secretaria Municipal de Saúde (MARIBONDO) ;AL;30/06/2020
26/06/2020;VYAIRE;ALAGOAS;MUNICIPIO;UTI;1;R$ 60.000,00;Secretaria Municipal de Saúde (PASSO DO CAMARAGIBE);AL;30/06/2020
26/06/2020;MAGNAMED;ALAGOAS;MUNICIPIO;TRANSPORTE;5;R$ 241.450,00;Secretaria Municipal de Saúde (SANTANA DO IPANEMA);AL;01/07/2020
