CNES;UF;IBGE;NOME;LOGRADOURO;BAIRRO;LATITUDE;LONGITUDE
0033820;52;520170;UNIDADE DE SAUDE DA FAMILIA PSF 307;RUA H;NOVO MUNDO;-15,90682;-52,22545
0000108;26;260290;USF ALTO DOS INDIOS;RUA 17;PONTE DOS CARVALHOS;-8,28389;-35,0321
0000116;26;260290;USF CHARNECA II;RUA 02;CHARNECA;-8,28353;-35,02819
0000124;26;260290;USF SAO FRANCISCO I;RUA MANOEL DOMINGOS BARROS;SAO FRANCISCO;-8,287;-35,035
0000132;26;260290;USF ROSARIO;RUA 01;ROSARIO;-8,28389;-35,0321
0000140;26;260290;USF JUSSARAL;ESTRADA DA VITORIA;JUSSARAL;-8,287;-35,035
0000167;26;260290;USF MERCES;RUA DO FERREIRO;MERCES;-8,287;-35,035
0000175;26;260290;USF SUAPE;RUA JOSE MIGUEL DE SANTANA;SUAPE;-8,287;-35,035
0000248;26;260290;USF MANOEL VIGIA;RUA PREFEITO DIOMEDES FERREIRA DE MELO;PONTE DOS CARVALHOS;-8,287;-35,035
0000256;26;260290;USF SANTA ROSA;RUA SANTA ROSA;PONTEZINHA;-8,2243;-34,96841
0000264;26;260290;USF MARUIM;RUA DO PORTO;PONTE DOS CARVALHOS;-8,2313;-34,98027
0000272;26;260290;USF ALTO DO SOL;2 TRAV DA SAUDADE;PONTE DOS CARVALHOS;-8,287;-35,035
0000280;26;260290;USF CACARI;RUA ANTONIO DA SILVA;PONTE DOS CARVALHOS;-8,287;-35,035
0000299;26;260290;USF TORRINHA;RUA JOSE LINO DE LIMA;ALTO CRUZEIRO;-8,287;-35,035
0000302;26;260290;USF SANTO ESTEVAO;RUA DO CEMITERIO;PONTE DOS CARVALHOS;-8,21811;-35,22944
0000310;26;260290;USF ALTO DA IGREJA;RUA PREFEITO DIOMEDES FERREIRA DE MELO;PONTE DOS CARVALHOS;-8,287;-35,035
0000337;26;260290;USF ARARIBA;ENGENHO ARARIBA DE BAIXO;ARARIBA;-8,287;-35,035
0000345;26;260290;USF ALTO DO PIRES;1 TRAV DO CRUZEIRO;PONTE DOS CARVALHOS;-8,287;-35,035
0000388;26;260290;USF SAO FRANCISCO III;RUA 28;SAO FRANCISCO;-8,28389;-35,0321
0048062;29;291650;U S F BOA VISTA;POVOADO BOA VISTA;ZONA RURAL;-11,317;-38,233
0016829;41;410690;UMS BUTIATUVINHA PSF;AVENIDA MANOEL RIBAS;SANTA FELICIDADE;-25,39237;-49,351
0023078;31;310620;CENTRO DE SAUDE GOIANIA;RUA POMBA;GOIANIA;-19,86359;-43,89783
0000760;26;261160;US 161 CS PROF ROMERO MARQUES;RUA CARLOS GOMES;BONGI;-8,054;-34,881
0000817;26;261160;US 149 CS OLINTO OLIVEIRA;RUA FRANCISCO DE PAULA;CAXANGA;-8,054;-34,881
0000825;26;261160;US 155 CS PROF MONTEIRO DE MORAIS;AV BEBERIBE;BEBERIBE;-8,00405;-34,89683
0000868;26;261160;US 142 CS BIDU KRAUSE;AV ONZE DE AGOSTO;CURADO;-8,054;-34,881
0000876;26;261160;US 138 USF DR LUIZ WILSOM;RUA CHA DE ALEGRIA;BOMBA DO HEMETERIO;-8,02078;-34,90473
0000957;26;261160;US 174 USF SITIO GRANDE;AV LUXEMBURGO;IMBIRIBEIRA;-8,10258;-34,91197
0000965;26;261160;US 177 USF CHICO MENDES;RUA DO CAMPO;AREIAS;-8,21351;-35,22553
0001058;26;261160;US 121 CS PROF BRUNO MAIA;RUA ALTO DO REFUGIO;NOVA DESCOBERTA;-8,054;-34,881
0001082;26;261160;US 104 CS SEBASTIAO IVO RABELO;AV CAMPINA GRANDE;COHAB;-8,11963;-34,94724
0001090;26;261160;US 126 CS VER ROMILDO GOMES;RUA JALISCO;IMBIRIBEIRA;-8,11638;-34,91198
0001112;26;261160;US 186 USF JARDIM UCHOA;RUA JUPIRACY;AREIAS;-8,054;-34,881
0001163;26;261160;US 109 CS FRANCISCO PIGNATARI;ESTRADA DO ARRAIAL;CASA AMARELA;-8,03011;-34,90707
0001201;29;293135;PSF RESIDENCIAL CASTELINHO;RUA;RESIDENCIAL CASTELIN;-17,55324;-39,71757
0001236;26;261160;US 152 CS INA ROSA BORGES;RUA SENADOR MILTON CAMPOS;VASCO DA GAMA;-8,054;-34,881
0001244;26;261160;US 175 USF DR DIOGENES CAVALCANTI;RUA ALTO DA BRASILEIRA;NOVA DESCOBERTA;-8,00051;-34,93226
0001252;26;261160;US 218 USF COQUE;RUA GUAPIRAMA;ILHA JOANA BEZERRA;-8,054;-34,881
0001317;26;261160;US 120 CS MARIO MONTEIRO MELO;RUA NOVA DESCOBERTA;NOVA DESCOBERTA;-8,00111;-34,92354
0001368;26;261160;US 158 CS PAM CEASA;RODOVIA BR 101SUL;CURADO;-8,054;-34,881
0001392;26;261160;US 148 CS DOM MIGUEL DE LIMA VALVERDE;RUA FELICIANO JOSE DE FARIAS;BOA VIAGEM;-8,054;-34,881
0001414;26;261160;US 117 CS GASPAR REGUEIRA COSTA;RUA PADRE DIOGO RODRIGUES;BARRO;-8,08828;-34,93816
0023124;31;310620;CENTRO DE SAUDE MARIVANDA BALEEIRO;RUA TRES MIL E SETENTA E QUATRO;PAULO VI;-19,84142;-43,89355
0001503;26;261160;US 179 USF ALTO DO CEU;RUA CAPITAO SALGUEIRO;PORTO DA MADEIRA;-8,054;-34,881
0001511;26;261160;US 184 USF VILA UNIAO;RUA NOVA ALIANCA;IPUTINGA;-8,03057;-34,93427
0001759;26;261160;US 103 CS PROF MARIO RAMOS;RUA OSCAR DE BARROS;CASA AMARELA;-8,02266;-34,91622
0001813;26;261160;US 112 CS DR JOSE DUSTAN CARVALHO SOARES;AV MAURICIO DE NASSAU;IPUTINGA;-8,04033;-34,92774
0002046;26;261160;US 168 CTA CENTRO DE TESTAGEM E ACONSELHAMENTO;LARGO DA SANTA CRUZ;BOA VISTA;-8,06237;-34,89017
0002062;26;261160;US 172 USF TRES CARNEIROS;RUA IBITIARA;COHAB;-8,12536;-34,95822
0002070;26;261160;US 173 USF DANCING DAYS;RUA DANCING DAYS;IMBIRIBEIRA;-8,10387;-34,9203
0002097;26;261160;US 183 USF SITIO DOS MACACOS;ESTRADA DOS MACACOS;GUABIRABA;-8,054;-34,881
0002100;26;261160;US 187 USF ILHA DE DEUS;RUA SAO JOSE;IMBIRIBEIRA;-8,21685;-35,23093
0002135;26;261160;US 221 USF ILHA DE JOANEIRO;RUA MARECHAL DEODORO;CAMPO GRANDE;-8,03565;-34,88273
0002143;26;261160;US 123 CS PROF CESAR MONTEZUMA;CAIS DO APOLO;RECIFE;-8,05591;-34,87207
0002216;28;280030;US OSVALDO LEITE TERRA DURA;AV AZUL;SANTA MARIA;-10,911;-37,072
0009407;35;354990;UBS ALTO DA PONTE;RUA ALZIRO LEBRAO;ALTO DA PONTE;-23,15332;-45,90134
2615304;32;320495;UNIDADE DE SAUDE DE SAO JACINTO;RUA SEVERINO SIMONASSI;SAO JACINTO;-19,71756;-40,61076
0002542;28;280030;US JOAO CARDOSO NASCIMENTO JUNIOR JOSE CONRADO DE ARAUJO;RUA ALAGOAS;JOSE CONRADO DE ARAU;-10,90502;-37,08508
0002550;28;280030;US ELIZABETE PITA TERRA DURA;RUA B;TERRA DURA;-10,80342;-36,91414
2615312;32;320495;UNIDADE DE SAUDE DE SANTA JULIA;RUA PROJETADA;AGROVILA;-19,67839;-40,69757
0002844;28;280030;US ONESIMO PINTO FILHO JARDIM CENTENARIO;AVENIDA RADIALISTA JOSE DA SILVA LIMA;JARDIM CENTENARIO;-10,911;-37,072
0003387;28;280030;US RENATO MAZZE LUCAS LAMARAO;RUA CAPITAO MANOEL GOMES;SANTOS DUMONT;-10,89949;-37,08477
0003395;28;280030;US CARLOS HARDMAN CORTES SOLEDADE;AVENIDA CARLOS MARQUES;SOLEDADE;-10,88026;-37,08732
3047776;23;231135;UNIDADE BASICA DE SAUDE VITORIA PEREIRA DA SILVA;SITIO BOTAO;ZONA RURAL;-6,27878;-39,20845
0182036;21;210200;CENTRO DE ATENCAO MUNICIPAL COVID 19 BOM JARDIM MA;SAO LUIS;CENTRO;-3,54747;-45,60981
0003999;29;292740;UBS MARIA DA CONCEICAO SANTIAGO IMBASSAY;RUA MARQUES DE MARICA;PAU MIUDO;-12,95903;-38,48725
0004014;29;292740;USF PROFESSOR SABINO SILVA;RUA REINALDO DE MATOS;NORDESTE AMARALINA;-13,00949;-38,47217
0004022;29;292740;USF PROF EDUARDO MAMEDE;SETOR E CAMINHO 16;MUSSURUNGA I;-12,92003;-38,3664
0004030;29;292740;UBS RODRIGO ARGOLO;RUA PERNAMBUCO;TANCREDO NEVES;-12,94614;-38,44654
0004111;29;292740;UBS SETE DE ABRIL;RUA DA FELICIA;SETE DE ABRIL;-12,971;-38,511
0004243;29;292740;UBS CASTELO BRANCO;RUA A 3 ETAPA;CASTELO BRANCO;-12,971;-38,511
0004332;29;292740;UBS PIRES DA VEIGA;RUA JAIME VIEIRA LIMA;PAU DA LIMA;-12,971;-38,511
